Testing playAdventurer randomly
Iteration:0 memcmp failed.
Iteration:1 memcmp failed.
Iteration:2 memcmp failed.
Iteration:3 memcmp failed.
Iteration:4 memcmp failed.
Iteration:5 memcmp failed.
Iteration:6 memcmp failed.
Iteration:7 memcmp failed.
Iteration:8 memcmp failed.
Iteration:9 memcmp failed.
Iteration:10 memcmp failed.
Iteration:11 memcmp failed.
Iteration:12 memcmp failed.
Iteration:13 memcmp failed.
Iteration:14 memcmp failed.
Iteration:15 memcmp failed.
Iteration:16 memcmp failed.
Iteration:17 memcmp failed.
Iteration:18 memcmp failed.
Iteration:19 memcmp failed.
Iteration:20 memcmp failed.
Iteration:21 memcmp failed.
Iteration:22 memcmp failed.
Iteration:23 memcmp failed.
Iteration:24 memcmp failed.
Iteration:25 memcmp failed.
Iteration:26 memcmp failed.
Iteration:27 memcmp failed.
Iteration:28 memcmp failed.
Iteration:29 memcmp failed.
Iteration:30 memcmp failed.
Iteration:31 memcmp failed.
Iteration:32 memcmp failed.
Iteration:33 memcmp failed.
Iteration:34 memcmp failed.
Iteration:35 memcmp failed.
Iteration:36 memcmp failed.
Iteration:37 memcmp failed.
Iteration:38 memcmp failed.
Iteration:39 memcmp failed.
Iteration:40 memcmp failed.
Iteration:41 memcmp failed.
Iteration:42 memcmp failed.
Iteration:43 memcmp failed.
Iteration:44 memcmp failed.
Iteration:45 memcmp failed.
Iteration:46 memcmp failed.
Iteration:47 memcmp failed.
Iteration:48 memcmp failed.
Iteration:49 memcmp failed.
Iteration:50 memcmp failed.
Iteration:51 memcmp failed.
Iteration:52 memcmp failed.
Iteration:53 memcmp failed.
Iteration:54 memcmp failed.
Iteration:55 memcmp failed.
Iteration:56 memcmp failed.
Iteration:57 memcmp failed.
Iteration:58 memcmp failed.
Iteration:59 memcmp failed.
Iteration:60 memcmp failed.
Iteration:61 memcmp failed.
Iteration:62 memcmp failed.
Iteration:63 memcmp failed.
Iteration:64 memcmp failed.
Iteration:65 memcmp failed.
Iteration:66 memcmp failed.
Iteration:67 memcmp failed.
Iteration:68 memcmp failed.
Iteration:69 memcmp failed.
Iteration:70 memcmp failed.
Iteration:71 memcmp failed.
Iteration:72 memcmp failed.
Iteration:73 memcmp failed.
Iteration:74 memcmp failed.
Iteration:75 memcmp failed.
Iteration:76 memcmp failed.
Iteration:77 memcmp failed.
Iteration:78 memcmp failed.
Iteration:79 memcmp failed.
Iteration:80 memcmp failed.
Iteration:81 memcmp failed.
Iteration:82 memcmp failed.
Iteration:83 memcmp failed.
Iteration:84 memcmp failed.
Iteration:85 memcmp failed.
Iteration:86 memcmp failed.
Iteration:87 memcmp failed.
Iteration:88 memcmp failed.
Iteration:89 memcmp failed.
Iteration:90 memcmp failed.
Iteration:91 memcmp failed.
Iteration:92 memcmp failed.
Iteration:93 memcmp failed.
Iteration:94 memcmp failed.
Iteration:95 memcmp failed.
Iteration:96 memcmp failed.
Iteration:97 memcmp failed.
Iteration:98 memcmp failed.
Iteration:99 memcmp failed.
Iteration:100 memcmp failed.
Iteration:101 memcmp failed.
Iteration:102 memcmp failed.
Iteration:103 memcmp failed.
Iteration:104 memcmp failed.
Iteration:105 memcmp failed.
Iteration:106 memcmp failed.
Iteration:107 memcmp failed.
Iteration:108 memcmp failed.
Iteration:109 memcmp failed.
Iteration:110 memcmp failed.
Iteration:111 memcmp failed.
Iteration:112 memcmp failed.
Iteration:113 memcmp failed.
Iteration:114 memcmp failed.
Iteration:115 memcmp failed.
Iteration:116 memcmp failed.
Iteration:117 memcmp failed.
Iteration:118 memcmp failed.
Iteration:119 memcmp failed.
Iteration:120 memcmp failed.
Iteration:121 memcmp failed.
Iteration:122 memcmp failed.
